# GUNNERY TABLE - BFG:XR
# Column mappings:
#   Col A = Closing Capital / Special / Defenses (all same values)
#   Col B = Moving Away Capital = Closing Escort
#   Col C = Abeam Capital = Moving Away Escort
#   Col D = Abeam Escort
#   Col E = Ordnance
# Modifiers (column shifts): <15cm left-shift, >30cm right-shift, through blast markers right-shift
# Cannot shift beyond leftmost (A) or rightmost (E) columns
# Roll dice count from table. Each die >= target Armor = 1 hit
firepower,col_A,col_B,col_C,col_D,col_E
1,1,1,1,0,0
2,2,1,1,1,0
3,3,2,2,1,1
4,4,3,2,1,1
5,5,4,3,2,1
6,5,4,3,2,1
7,6,5,4,2,1
8,7,6,4,3,2
9,8,6,5,3,2
10,9,7,5,4,2
11,10,8,6,4,2
12,11,8,6,4,2
13,12,9,7,5,3
14,13,10,7,5,3
15,14,11,8,5,3
16,14,11,8,6,3
17,15,12,9,6,3
18,16,13,9,6,4
19,17,13,10,7,4
20,18,14,10,7,4
